"nLayers","nNodes","MSE"
1,1,77.693450686941
1,2,73.5692810826999
1,3,73.515469408362
1,4,72.9346136446197
1,5,73.3610232754981
1,6,73.228748961321
1,7,73.0933834714007
1,8,72.3077665173685
1,9,71.8038811149148
1,10,72.677429169314
1,11,74.9261253856109
1,12,72.9062564648281
1,13,71.8781459063171
1,14,72.2760696611372
1,15,73.7153665564855
1,16,72.8693230151136
1,17,75.3943334860751
1,18,74.1859864402896
1,19,72.7159596595065
1,20,75.7048571384268
1,21,71.684388064849
1,22,73.1607643475801
1,23,74.7479393453087
1,24,72.9085174563889
1,25,71.8513032296926
1,26,72.7169766301465
1,27,75.4510825988602
1,28,73.4756984521222
1,29,72.7883515620589
1,30,71.800859401228
1,31,73.6440701405576
1,32,73.3256282963169
1,33,73.1501672546872
1,34,77.7272872544386
1,35,75.0129582878764
1,36,74.0617286991197
1,37,72.7568247661318
1,38,74.8499207425172
1,39,73.7980497527621
1,40,72.2912487894814
1,41,73.6489848241428
1,42,73.3085183833427
1,43,75.2863867779702
1,44,74.0706751293619
1,45,77.6961833591362
1,46,73.730351893859
1,47,74.5011509303367
1,48,74.166801846898
1,49,75.6711793803815
1,50,72.2748755973108
1,51,72.3983524895731
1,52,72.1172358593862
1,53,74.0914614807181
1,54,72.0231489897748
1,55,75.7133537989258
1,56,73.7020252615274
1,57,74.92625517389
1,58,75.2979001263002
1,59,73.5018607814044
1,60,72.4145811042764
2,1,72.4145811042764
2,2,73.084725782716
2,3,74.2688388675461
2,4,73.3112220304904
2,5,72.9201275388662
2,6,73.8088081565645
2,7,74.7651635016124
2,8,73.2409771495112
2,9,75.4963652528536
2,10,78.9673548169334
2,11,74.1865869561496
2,12,77.6793311824918
2,13,78.0520017319985
2,14,82.5754953047819
2,15,80.5081131342435
2,16,75.8898671390642
2,17,81.4215996366753
2,18,80.4976067697507
2,19,79.5550550897143
2,20,77.4591119428068
2,21,76.1560256262984
2,22,76.1690794810052
2,23,76.2794711364503
2,24,77.9273813687704
2,25,87.3456844034986
2,26,72.7726446298791
2,27,77.6837675096884
2,28,80.0767773898451
2,29,82.9154978448545
2,30,78.8351221544346
2,31,80.1867332407019
2,32,82.298597081704
2,33,78.5812840593539
2,34,74.6412235608127
2,35,79.7465483709469
2,36,77.1628581171885
2,37,78.5347191162029
2,38,82.4504034552613
2,39,82.4158425833495
2,40,85.9294557111367
2,41,79.6085618764554
2,42,75.1231030531186
2,43,73.3513622860656
2,44,78.5503716130711
2,45,75.9911997982943
2,46,81.3789528557707
2,47,83.6186248568107
2,48,78.2388341035053
2,49,79.8336542002833
2,50,76.4267980294857
2,51,83.2047885610273
2,52,77.6263276183615
2,53,86.6590198225033
2,54,80.974908242456
2,55,81.3079180605323
2,56,79.4879890684893
2,57,73.4405042898679
2,58,72.5873482968422
2,59,87.0783006752478
2,60,86.4295948145098
3,1,86.4295948145098
3,2,72.748134105312
3,3,74.6470617852588
3,4,79.7904328819168
3,5,75.424201730976
3,6,76.1466846259468
3,7,81.8053791866424
3,8,75.1347769081926
3,9,84.0915819503772
3,10,74.1250919640437
3,11,87.3493097480624
3,12,78.6593911791862
3,13,72.3260257618762
3,14,85.1245012843644
3,15,82.4054343805207
3,16,82.8246246192433
3,17,82.0120155829026
3,18,75.4851616852608
3,19,84.9868794802264
3,20,80.7359536461349
3,21,85.2786599096658
3,22,81.6010417719047
3,23,83.9092044537399
3,24,77.2737471032504
3,25,78.7713583693136
3,26,85.0346442582898
3,27,83.3430390793647
3,28,77.186854074775
3,29,77.7372427582945
3,30,79.5972314804472
3,31,75.0908061579119
3,32,77.446405698482
3,33,85.2556001800681
3,34,78.5952740449458
3,35,79.0709369338797
3,36,78.6964757308037
3,37,82.9387205133597
3,38,85.4128806231331
3,39,82.6420732573268
3,40,85.9674968870425
3,41,81.5162899497991
3,42,81.02437866263
3,43,77.4262220539241
3,44,78.1739743265372
3,45,81.5426759961724
3,46,86.8236571404615
3,47,90.1241346991341
3,48,79.2052299110183
3,49,74.865177610422
3,50,83.8413297472642
3,51,80.8682361658923
3,52,83.0944229913997
3,53,84.5782588402546
3,54,86.691169566687
3,55,79.9971252877987
3,56,84.3540441924378
3,57,79.6445435347642
3,58,81.4568115709137
3,59,80.4958344113916
3,60,79.3133443533528
4,1,79.3133443533528
4,2,79.3133443533528
4,3,75.2720121495148
4,4,75.6435690981142
4,5,73.9195257407444
4,6,78.0044080359052
4,7,75.5400414302842
4,8,80.2189191029291
4,9,92.6070516634675
4,10,80.5263855982857
4,11,74.0357980570144
4,12,77.4099444615906
4,13,84.5039570197789
4,14,77.3718660392496
4,15,77.5848029087317
4,16,80.6606896847027
4,17,78.8669370363141
4,18,88.1963505906796
4,19,86.0622039699382
4,20,78.9606127018356
4,21,89.5628604904999
4,22,77.099489179847
4,23,88.1576751896213
4,24,86.8661400501497
4,25,87.7295567506319
4,26,75.8453430087304
4,27,80.648486451632
4,28,86.5305236753157
4,29,87.3600829392146
4,30,75.9118872462232
4,31,80.660322696159
4,32,78.6587845617785
4,33,73.6680122251408
4,34,80.6691882665575
4,35,80.6372099310042
4,36,79.4191680587613
4,37,85.4955016922819
4,38,86.8882142860521
